Title;Authors;Venue;Year;Library;I1;I2;I3;I4;I5;I6;E1;E2;E3;E4;Included
A Case Study to Evaluate Pros/Cons of Aspect- and Object-Oriented Paradigms to Model Distributed Embedded Real-Time Systems;"Wehrmeister, M.A.; Freitas, E.; Orfanus, D.; Pereira, C.E.; Rammig, F.";Model-based Methodologies for Pervasive and Embedded Software, 2008. MOMPES 2008. 5th International Workshop on;2008;IEEE ;O;O;O;;;;;;;;
A CASE tool for robot behavior development;Topalidou-Kyniazopoulou A., Spanoudakis N.I., Lagoudakis M.G.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2013;Scopus;X;X;X;X;X;X;O;O;O;O;YES
A co-design approach for embedded control software of cyber-physical systems;J. F. Broenink P. J. D. Vos Z. Lu M. M. Bezemer;2016 11th System of Systems Engineering Conference (SoSE);2016;IEEE;o;o;;;;;;;x;;
A Cognitive Map Learning Model Based on Hippocampal Place Cells;Jie  Chai and Xiaogang  Ruan and Jing  Huang and Xiaoqing  Zhu;ICMRE 2018;2018;ACM;No;;;;;;;;;;
A collaborative scheduling approach for service-driven scientific workflow execution;Dou W., Zhao J.L., Fan S.;Journal of Computer and System Sciences;2010;Scopus;O;;;;;;;;;;
A Collaborative Service-Oriented Simulation Framework with Microsoft Robotic Studio®;"Tsai, W.T.; Qian Huang; Xin Sun";Simulation Symposium, 2008. ANSS 2008. 41st Annual;2008;IEEE ;O;O;O;;;;;;;;
A Comparative Analysis of Self-adaptive Patterns in Cyber-physical Systems;Mohammad  Sharaf and Henry  Muccini and Apurvanand  Sahay;ECSA '18;2018;ACM;No;;;;;;;;;;
A Comparative Analysis on Image Translation and Rotation Algorithms Towards Implementations in Micro Aerial Vehicles;Boulbaz  Ismael and Sankarasrinivasan  Seshathiri and Balasubramanian  Esakki;ICMRE 2017;2017;ACM;NO;;;;;;;;;;
A comparative study of LBG and SOA codebooks concerning the computational complexity of the minimum distortion encoding for VQ;"Madeiro, F.; Vajapeyam, M.S.; Aguiar Neto, B.G.";Neural Networks, 2000. Proceedings. Sixth Brazilian Symposium on;2000;IEEE ;;;;;;O;;;;;
A Comparison of Avionics Open System Architectures;Joyce L. Tokar;;2017;ACM;No;;;;;;;;;;
A comparison of machine modeling methods for real-time applications;"Fleming, F.; Edrington, C.S.";IECON 2012 - 38th Annual Conference on IEEE Industrial Electronics Society;2012;IEEE ;O;O;O;;;;;;;;
A Comparison of Mobile Rule Engines for Reasoning on Semantic Web Based Health Data;"van Woensel, W.; Al Haider, N.; Roy, P.C.; Ahmad, A.M.; Abidi, S.S.R.";Proceedings of the 2014 IEEE/WIC/ACM International Joint Conferences on Web Intelligence (WI) and Intelligent Agent Technologies (IAT) - Volume 01;2014;IEEE ;O;O;O;;;;;;;;
A comparison of modelled and real-life driving profiles for the simulation of railway vehicle operation;"Powell, J. P.; Palacin, R.";C;2015;WOS;O;O;;;;;;;X;;
A Comparison of System-Controlled and User-Controlled Personalization Approaches;Rita  Orji and Kiemute  Oyibo and Gustavo F. Tondello;UMAP '17;2017;ACM;NO;;;;;;;;;;
A Component Framework for Context-Awareness;"Pinto, R.P.; Cardozo, E.; Guimaraes, E.G.";Wireless Communications and Mobile Computing Conference, 2008. IWCMC '08. International;2008;IEEE ;O;O;O;;;;;;;;
A Component-Based and Model-Driven Approach to Deal with Non-Functional Properties through Global QoS Metrics;JF Inglés-Romero, J Martínez, D Stampfer, A Lotz;""" 5th International Workshop on Interplay of Model-Driven and Component-Based Software Engineering (ModComp), in conjunction with MODELS. Vol. 18. 2018.";2018;ACM;X;X;X;X;X;X;O;O;O;O;YES
A Component-Based Meta-Model and Framework in the Model Driven Toolchain C-Forge;Francisco J. Ortiz, Diego Alonso, Francisca Rosique, Francisco Sánchez-Ledesma, Juan A. Pastor;SIMPAR 2014: Proceedings of the 4th International Conference on Simulation, Modeling, and Programming for Autonomous Robots - Volume 8810;2014;ACM;X;X;X;X;X;X;O;O;O;O;YES
A Component-based Meta-Model for Context-Aware, Distributed Adaptation Graphs;Springer, T.;Autonomic and Autonomous Systems, 2006. ICAS '06. 2006 International Conference on;2006;IEEE ;O;O;O;;;;;;;;
A Component-Based Middleware for a Reliable Distributed and Reconfigurable Spacecraft Onboard Computer;T. Peng K. HÃ¶flinger B. Weps O. Maibaum K. Schwenk D. LÃ¼dtke A. Gerndt;2016 IEEE 35th Symposium on Reliable Distributed Systems (SRDS);2016;IEEE;o;o;;;;;;;;;
A comprehensive solution for application-level adaptation;"Geihs K;Barone P;Eliassen F;Floch J;Fricke R;Gjorven E;Hallsteinsen S;Horn G;Khan M;Mamelli A;Papadopoulos G;Paspallis N;Reichle R;Stav E;";Software-Practice & Experience;2009;WOS;O;O;O;;;;;;;;
A conceptual foundation for autonomous learning in unforeseen situations;Kennedy, C.M.;Intelligent Control (ISIC), 1998. Held jointly with IEEE International Symposium on Computational Intelligence in Robotics and Automation (CIRA), Intelligent Systems and Semiotics (ISAS), Proceedings;1998;IEEE ;;;;;;;;;;X;
A CONSTITUTIVE MODEL FOR TORSIONAL LOADS ON FLUID-DRIVEN SOFT ROBOTS;"Sedal, Audrey; Bruder, Daniel; Bishop-Moser, Joshua; Vasudevan, Ram; Kota, Sridhar";PROCEEDINGS OF THE ASME INTERNATIONAL DESIGN ENGINEERING TECHNICAL CONFERENCES AND COMPUTERS AND INFORMATION IN ENGINEERING CONFERENCE, 2017, VOL 5A;2017;WOS;N;;;;;;;;;;
A Crop Water Stress Monitoring System Utilising a Hybrid e-Infrastructure;Gaojie  Sun and Hongzhen  Xie and Richard O. Sinnott;UCC '17;2017;ACM;NO;;;;;;;;;;
A CSP-based agent modeling framework for the Cougaar agent-based architecture;"Gracanin, D.; Singh, H.L.; Hinchey, M.G.; Eltoweissy, M.; Bohner, S.A.";Engineering of Computer-Based Systems, 2005. ECBS '05. 12th IEEE International Conference and Workshops on the;2005;IEEE ;O;O;O;;;;;;;;
A data structure and data base design for model driven robot programming;"Hornick, M.; Ravani, B.";Robotics and Automation. Proceedings. 1986 IEEE International Conference on;1986;IEEE ;;;;;;;;;;X;
A Data-Driven Bias-Correction-Method-Based Lithium-Ion Battery Modeling Approach for Electric Vehicle Applications;"Gong, Xianzhi; Xiong, Rui; Mi, Chunting Chris";J;2016;WOS;O;O;;;;;;;x;;
A Data-driven Generative Model for GPS Sensors for Autonomous Driving;Erik  Karlsson and Nasser  Mohammadiha;SEFAIS '18;2018;ACM;No;;;;;;;;;;
A Data-Driven, Multidimensional Approach to Hint Design in Video Games;Helen  Wauck and Wai-Tat  Fu;IUI '17;2017;ACM;No;;;;;;;;;;
A Data-Mining Technique for Aerosol Retrieval Across Multiple Accuracy Measures;"Radosavljevic, V.; Vucetic, S.; Obradovic, Z.";Geoscience and Remote Sensing Letters, IEEE;2010;IEEE ;O;O;O;;;;;;;;
A Decentralized Architecture and Simple Consensus Algorithm for Autonomous Agents;Ole  Meyer and Marc  Hesenius and Stefan  Gries and Florian  Wessling and Volker  Gruhn;ECSA '18;2018;ACM;No;;;;;;;;;;
A decision support tool to enhance agricultural growth in the Mékrou river basin (West Africa);Udias A., Pastori M., Dondeynaz C., Carmona Moreno C., Ali A., Cattaneo L., Cano J.;Computers and Electronics in Agriculture;2018;SCOPUS;N;;;;;;;;;;
A decision theoretic approach for task coordination in social robots;"Elinas, P.; Sucar, E.; Reyes, A.; Hoey, J.";Robot and Human Interactive Communication, 2004. ROMAN 2004. 13th IEEE International Workshop on;2004;IEEE ;O;O;O;;;;;;;;
A decision-making method for autonomous vehicles based on simulation and reinforcement learning;"Rui Zheng; Chunming Liu; Qi Guo";Machine Learning and Cybernetics (ICMLC), 2013 International Conference on;2013;IEEE ;O;O;O;;;;;;;;
A Defense System for Defeating DDoS Attacks in SDN Based Networks;Adel  Alshamrani and Ankur  Chowdhary and Sandeep  Pisharody and Duo  Lu and Dijiang  Huang;MobiWac '17;2017;ACM;No;;;;;;;;;;
"A Definition of ""Abstraction Level"" for Metamodels";"Monperrus, M.; Beugnard, A.; Champeau, J.";Engineering of Computer Based Systems, 2009. ECBS 2009. 16th Annual IEEE International Conference and Workshop on the;2009;IEEE ;O;O;O;;;;;;;;
A deformable model driven method for handling clothes;"Kita, Y.; Saito, F.; Kita, N.";Pattern Recognition, 2004. ICPR 2004. Proceedings of the 17th International Conference on;2004;IEEE ;O;O;O;;;;;;;;
A demand-driven search model with self-fulfilling expectations: the new 'Farmerian' framework under scrutiny;"Guerrazzi, Marco; Gelain, Paolo";J;2015;WOS;O;O;;;;;;;X;;
A Descriptive Language for Flexible and Robust Object Recognition;Lovell, Nathan and Estivill-Castro, Vladimir;RoboCup 2004;2005;ACM;O;O;O;;;;;;;;
A development framework and methodology for self-adapting applications in ubiquitous computing environments ;"Hallsteinsen, S.; Geihs, K.; Paspallis, N.; Eliassen, F.; Horn, G.; Lorenzo, J.; Mamelli, A. & Papadopoulos, G.A.";Journal of Systems and Software ;2012;ScienceDirect;O;O;O;;;;;;;;
A DevOps Framework for Quality-driven Self-protection in Web Software Systems;Nasim  Beigi-Mohammadi and Marin  Litoiu and Mahsa  Emami-Taba and Ladan  Tahvildari and Marios  Fokaefs and Ettore  Merlo and Iosif Viorel Onut;CASCON '18;2018;ACM;No;;;;;;;;;;
A Distributed Data Flow Model for Composing Software Services;Liu, Wanqian David;;2003;ACM;;;;;;;;X;;;
A domain specific architecture description language for Autonomous Mobile Robots;"Lei Zhang; Huaxi Zhang; Zheng Fang; Zapata, R.; Huchard, M.";Information and Automation (ICIA), 2012 International Conference on;2012;IEEE ;;;;;;;;;;;
A domain specific modeling language for multiagent systems;Hahn C.;Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS;2008;Scopus;O;;;;;;;;;;
A Domain-independent Middleware Framework for Context-aware Applications;Pinto, Rossano P. and Cardozo, Eleri and Coelho, Paulo R. S. L. and Guimar\~{a}es, Eliane G. ;Proceedings of the 6th International Workshop on Adaptive and Reflective Middleware: Held at the ACM/IFIP/USENIX International Middleware Conference;2007;ACM;X;X;X;X;X;X;O;O;O;O;YES
A domain-specific language (DSL) for integrating neuronal networks in robot control;Hinkel G., Groenda H., Vannucci L., Denninger O., Cauli N., Ulbrich S.;C;2015;SCOPUS;-;x;x;x;x;x;-;-;-;-;
A Domain-Specific Language for Autonomic Managers in FPGA Reconfigurable Architectures;"S. M. k. Gueye; G. Delaval; √â. Rutten; D. Heller; J. Diguet";2018 IEEE International Conference on Autonomic Computing (ICAC);2018;IEEE;NO;;;;;;;;;;
A Domain-Specific Language for Fault Diagnosis in Electrical Submersible Pumps;"G. E. Monjardim; A. Rodrigues; F. M. Varej√£o; V. E. Silva Souza; M. P. Ribeiro";2018 IEEE 16th International Conference on Industrial Informatics (INDIN);2018;IEEE;NO;;;;;;;;;;
A domain-specific software architecture for adaptive intelligent systems;"Hayes-Roth, B.; Pfleger, K.; Lalanda, Philippe; Morignot, P.; Balabanovic, M.";IEEE Transactions on Software Engineering ;1995;IEEE ;;;;;;;;;;X;
A Driver Guidance System for Taxis in Singapore;Shashi Shekhar  Jha and Shih-Fen  Cheng and Meghna  Lowalekar and Nicholas  Wong and Rishikeshan  Rajendram and Pradeep  Varakantham and Nghia Troung  Troung and Firmansyah  Bin Abd Rahman;AAMAS '18;2018;ACM;No;;;;;;;;;;
A Dual-Rate Sampling Multivariable Self-Tuning Regulator;"Xing-Yuan, Gu; Yi-Xiao, Xu";American Control Conference, 1987;1987;IEEE ;;;;;;;;;;X;
A fail-safe dual channel robot control for surgery applications ;"Laible, Ulrich; BÃ¼rger, Thomas & Pritschow, GÃ¼nter";Safety Science ;2004;ScienceDirect;O;O;O;;;;;;;;
A fast and robust vision based road following algorithm;"Aufrere, R.; Chapuis, R.; Chausse, F.";Intelligent Vehicles Symposium, 2000. IV 2000. Proceedings of the IEEE;2000;IEEE ;O;O;O;;;;;;;;
A filter for systems with stochastic covariance;"Foss, B.A.; Michelsen, F.A.";Decision and Control, 1991., Proceedings of the 30th IEEE Conference on;1991;IEEE ;;;;;;;;;;X;
A Flexible Model-Driven Game Development Approach;E. F. d. Prado D. LucrÃ©dio;2015 IX Brazilian Symposium on Components, Architectures and Reuse Software;2015;IEEE;o;o;;;;;;;;;
A formal approach to adaptive software: continuous assurance of non-functional requirements;"Filieri A;Ghezzi C;Tamburrelli G;";Formal Aspects of Computing;2012;WOS;O;O;O;;;;;;;;
A Foundational Framework for Certified Impossibility Results with Mobile Robots on Graphs;"Thibaut  Balabonski and Robin  Pelle and Lionel  Rieg and S&#233;bastien  Tixeuil";ICDCN '18;2018;ACM;NO;;;;;;;;;;
A framework for automatic model-driven 2D echocardiography acquisition for robust respiratory motion estimation in image-guided cardiac interventions;"Peressutti, D.; Penney, G.P.; Kolbitsch, C.; Housden, R.J.; Gomez, A.; Rhode, K.S.; King, A.P.";Biomedical Imaging (ISBI), 2013 IEEE 10th International Symposium on;2013;IEEE ;;;;;;;;;X;;
A framework for context-aware self-adaptive mobile applications \SPL\ ;"Mizouni, Rabeb; Matar, Mohammad Abu; Mahmoud, Zaid Al; Alzahmi, Salwa & Salah, Aziz";Expert Systems with Applications ;2014;ScienceDirect;O;O;O;;;;;;;;
A Framework for Coupled Simulations of Robots and Spiking Neuronal Networks;Hinkel G., Groenda H., Krach S., Vannucci L., Denninger O., Cauli N., Ulbrich S., Roennau A., Falotico E., Gewaltig M.-O., Knoll A., Dillmann R., Laschi C., Reussner R.;Journal of Intelligent and Robotic Systems: Theory and Applications;2017;SCOPUS;N;;;;;;;;;;
A framework for dynamic software architecture-based self-healing;"Yang Qun; Yang Xian-chun; Xu Man-wu";Systems, Man and Cybernetics, 2005 IEEE International Conference on;2005;IEEE ;O;O;O;;;;;;;;
A Framework for Interaction-driven User Modeling of Mobile News Reading Behaviour;Marios  Constantinides and John  Dowell;UMAP '18;2018;ACM;No;;;;;;;;;;
A Framework for Modeling and Simulation of the Artificial;Douglass S.A., Mittal S.;Intelligent Systems Reference Library;2013;Scopus;O;;;;;;;;;;
A framework for process-based collaborative systems design;Bouchbout K., Iklef N., Khaldoun S.;ICSOFT-EA 2014 - Proceedings of the 9th International Conference on Software Engineering and Applications;2014;Scopus;;;;;;O;;;;;
A Framework for Statechart Based Component Reconfiguration;"Elkorobarrutia, X.; Muxika, Mikel; Sagardui, G.; Barbier, F.; Aretxandieta, X.";Proceedings of the Fifth IEEE Workshop on Engineering of Autonomic and Autonomous Systems;2008;IEEE ;O;O;O;;;;;;;;
A Framework for the Development of Secure Data Warehouses based on MDA and QVT;"Soler, E.; Trujillo, J.; Fernandez-Medina, E.; Piattini, M.";The Second International Conference on Availability, Reliability and Security, 2007. ARES 2007. ;2007;IEEE ;O;O;O;;;;;;;;
A framework to specify incremental software architecture transformations;"Barais, O.; Duchien, L.; Le Meur, A.";Software Engineering and Advanced Applications, 2005. 31st EUROMICRO Conference on;2005;IEEE ;O;O;O;;;;;;;;
A Game-theoretic Decision-making Framework for Engineering Self-protecting Software Systems;Mahsa  Emami-Taba;ICSE-C '17;2017;ACM;No; ;;;;;;;;;
A generated property specification language for resilient multirobot missions;Dragule S., Meyers B., Pelliccione P.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2017;SCOPUS;N;;;;;;;;;;
A Generative Approach to the Development of Autonomous Robot Software;"Baer, P.A.; Reichle, R.; Zapf, M.; Weise, Thomas; Geihs, K.";Engineering of Autonomic and Autonomous Systems, 2007. EASe '07. Fourth IEEE International Workshop on;2007;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
A generic shape descriptor using Bezier curves;"Sohel, F.A.; Karmakar, G.C.; Dooley, L.S.";Information Technology: Coding and Computing, 2005. ITCC 2005. International Conference on;2005;IEEE ;O;O;O;;;;;;;;
A genetic algorithm for nonholonomic motion planning;"Erinc, G.; Carpin, S.";Robotics and Automation, 2007 IEEE International Conference on;2007;IEEE ;O;O;O;;;;;;;;
A Geo-ontology Design Pattern for Semantic Trajectories;Yingjie Hu, Krzysztof Janowicz, David Carral, Simon Scheider, Werner Kuhn, Gary Berg-Cross, Pascal Hitzler, Mike Dean, Dave Kolas;COSIT 2013: Proceedings of the 11th International Conference on Spatial Information Theory - Volume 8116;2013;ACM;O;O;O;;;;;;;;
A Graphical Digital Personal Assistant That Grounds and Learns Autonomously;Casey  Kennington and Aprajita  Shukla;HAI '17;2017;ACM;No;;;;;;;;;;
A Guidance Framework for the Generation of Implementation Models in the Automotive Domain;"Wozniak, E.; Mraidha, C.; Gerard, S.; Terrier, F.";Software Engineering and Advanced Applications (SEAA), 2011 37th EUROMICRO Conference on;2011;IEEE ;O;O;O;;;;;;;;
A Hardware-Efficient Architecture for Accurate Real-Time Disparity Map Estimation; Ttofis, Christos and Kyrkou, Christos and Theocharides, Theocharis;ACM Trans. Embed. Comput. Syst.;2015;ACM;O;O;O;;;;;;;;
A hierarchical modeling method based on model-driven development in real-time control system design;"Bi He; Bin Wang; Li Guo; Tongyao Yang; Xin Xiong";Control Conference (CCC), 2013 32nd Chinese;2013;IEEE ;X;X;X;X;X;X;O;O;O;O;YES
A HOG-based Real-time and Multi-scale Pedestrian Detector Demonstration System on FPGA;"Jan  D&#252;rre and Dario  Paradzik and Holger  Blume";FPGA '18;2018;ACM;NO;;;;;;;;;;
A human interface for an intelligent mobile robot;"Graefe, V.; Bischoff, R.";Robot and Human Communication, 1997. RO-MAN '97. Proceedings., 6th IEEE International Workshop on;1997;IEEE ;;;;;;;;;;X;
A Hybrid Design for a Cooperative Multi-Robot Transportation System;Ole  Falkenberg and Uwe  Weltin;ICMRE 2017;2017;ACM;NO;;;;;;;;;;
A Hybrid Service Metadata Clustering Methodology in the Digital Ecosystem Environment;"Hai Dong; Hussain, F.K.; Chang, E.";Advanced Information Networking and Applications Workshops, 2009. WAINA '09. International Conference on;2009;IEEE ;O;O;O;;;;;;;;
A hybrid SOA approach for building a high performance, agile SDP;Deveci E.;Proceedings of ISCN'08 - 8th International Symposium on Computer Networks;2008;Scopus;;;;;;O;;;;;
A Hybrid Solution for 3D Location and Time Synchronization in WSN;Cristiano B. Cardoso and Daniel L. Guidoni and Bruno Y.L. Kimura and Leandro A. Villas;MobiWac '17;2017;ACM;No;;;;;;;;;;
A Hyper-Redundant Robot Development for Tokamak Inspection;Pramit  Dutta and K. K. Gotewal and Naveen  Rastogi and Raviranjan  Tiwari and ManoahStephen  M;AIR '17;2017;ACM;No;;;;;;;;;;
A Knee Point Based Evolutionary Multi-objective Optimization for Mission Planning Problems;Cristian  Ramirez-Atencia and Sanaz  Mostaghim and David  Camacho;GECCO '17;2017;ACM;NO;;;;;;;;;;
A Knowledge Carrying Service-Component Architecture for Smart Cyber Physical Systems: An Example Based on Self-documenting Production Systems;Haubeck C., Lamersdorf W., Fay A.;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);2018;SCOPUS;N;;;;;;;;;;
A Learning Automata-based DDoS Attack Defense Mechanism in Software Defined Networks;Kshira Sagar Sahoo and Mayank  Tiwary and Sampa  Sahoo and Rohit  Nambiar and Bibhudatta  Sahoo and Ratnakar  Dash;MobiCom '18;2018;ACM;NO;;;;;;;;;;
A LiDAR Point Cloud Generator: From a Virtual World to Autonomous Driving;Xiangyu  Yue and Bichen  Wu and Sanjit A. Seshia and Kurt  Keutzer and Alberto L. Sangiovanni-Vincentelli;ICMR '18;2018;ACM;No;;;;;;;;;;
A local search approach to observation planning with multiple UAVs;Bit-Monnot A., Bailon-Ruiz R., Lacroix S.;Proceedings International Conference on Automated Planning and Scheduling, ICAPS;2018;SCOPUS;N;;;;;;;;;;
A Locally Distributed Mobile Computing Framework for DNN Based Android Applications;Jiajun  Zhang and Shihong  Chen and Bichun  Liu and Yun  Ma and Xing  Chen;Internetware '18;2018;ACM;NO;;;;;;;;;;
A Low Cost Embedded Instrumentation (EI) Framework for Vehicle Health Management Systems (VHMS);"Peter, F.E.; Blemel, K.G.";Aerospace Conference, 2008 IEEE;2008;IEEE ;O;O;O;;;;;;;;
A Low Cost Multi Sensorial Data Fusion for High Speed Obstacle Avoidance Using 3-D Point Clouds and Image Processing in Self Balancing Robots;"K. M. Mithil; G. S. Thejas; S. K. Ramani; S. S. Iyengar";2017 2nd International Conference On Emerging Computation and Information Technologies (ICECIT);2017;IEEE;NO;;;;;;;;;;
A Low Cost Multi Sensorial Data Fusion for High Speed Obstacle Avoidance Using 3-D Point Clouds and Image Processing in Self Balancing Robots;Mithil K.M., Thejas G.S., Ramani S.K., Iyengar S.S.;2017 2nd International Conference On Emerging Computation and Information Technologies, ICECIT 2017;2018;SCOPUS;N;;;;;;;;;;
A Low Cost Multi Sensorial Data Fusion for High Speed Obstacle Avoidance Using 3-D Point Clouds and Image Processing in Self Balancing Robots;Mithil K.M., Thejas G.S., Ramani S.K., Iyengar S.S.;2017 2nd International Conference On Emerging Computation and Information Technologies, ICECIT 2017;2018;SCOPUS;N;;;;;;;;;;
A Low Cost Multi Sensorial Data Fusion for High Speed Obstacle Avoidance Using 3-D Point Clouds and Image Processing in Self Balancing Robots;Mithil K.M., Thejas G.S., Ramani S.K., Iyengar S.S.;2017 2nd International Conference On Emerging Computation and Information Technologies, ICECIT 2017;2018;SCOPUS;N;;;;;;;;;;
A mapping approach for Marine Observatory relying on enterprise architecture;C. G. Aoun I. Alloush Y. kermarrec J. Champeau O. K. Zein;OCEANS 2015 - MTS/IEEE Washington;2015;IEEE;o;o;;;;;;;x;;
A Merging Protocol for Self-driving Vehicles;Shunsuke  Aoki and Ragunathan (Raj) Rajkumar;ICCPS '17;2017;ACM;No;;;;;;;;;;
A Metamodel Approach to Developing Adaptive Normative Agents;M. Viana P. Alencar C. Lucena;2015 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology (WI-IAT);2015;IEEE;o;o;;;;;;;x;;
A metamodel for modelling of component-based systems with mobile architecture;Rychly M.;Information Systems Development - Business Systems and Services: Modeling and Development;2011;Scopus;;;;;;O;;;;;
A Metamodel for the Rubus Component Model: Extensions for Timing and Model Transformation From EAST-ADL;"A. Bucaioni; A. Cicchetti; F. Ciccozzi; S. Mubeen; M. Sj√∂din";IEEE Access;2017;IEEE;NO;;;;;;;;;;
A Metamodel for the Rubus Component Model: Extensions for Timing and Model Transformation from EAST-ADL;Bucaioni A., Cicchetti A., Ciccozzi F., Mubeen S., Sjodin M.;IEEE Access;2017;SCOPUS;N;;;;;;;;;;
A Methodological Approach to Model-Driven Design and Development of Automation Systems;"M. L. Alvarez; I. Sarachaga; A. Burgos; E. Est√©vez; M. Marcos";IEEE Transactions on Automation Science and Engineering;2018;IEEE;NO;;;;;;;;;;
